hit_id,smiles,vina_PD-L1,vina_TGF-bR1,dual_score
HIT_0001,c1cc2c3c(c1)CN(c1ccc4c(c1)CCC[C@]41COCCN1)C[C@@H]3CCC2,-8.328,-5.833,-14.161
HIT_0002,Cc1ncc(Nc2ccc3c(c2)C(=O)CCO3)cc1N1CC(F)(F)C12CCC2,-7.558,-6.49,-14.048
HIT_0003,c1ccc2c(c1)CCN2[C@H]1CCCCN(c2cccc3c2CCN2CCNC[C@H]32)C1,-8.514,-5.309,-13.823
HIT_0004,Cc1c(N2CC[C@@H](c3c(F)cccc3F)C2)ccc2c1CNCC2,-8.274,-5.503,-13.777
HIT_0005,N#Cc1cc(N2CCc3ccc(N4CC[C@H](O)[C@H]5CCC[C@@H]54)cc32)[nH]c1C#N,-8.554,-5.192,-13.746
HIT_0006,N#Cc1cccc2c1[C@@](C(=O)O)(N1CCCc3ccc(N4CC[C@@](F)(C#N)C4)cc3C1=O)CC2,-7.242,-6.422,-13.664
HIT_0007,CC(C)=C1CCN(c2cc(N[C@H]3CCCc4c(F)cccc43)cnc2N)CC1,-7.758,-5.877,-13.635
HIT_0008,O=C(N[C@H]1CC[C@H]1c1nc(-c2cc3cccc4c3n(c2=O)CCC4)no1)[C@H]1CCCCO1,-7.959,-5.623,-13.582
HIT_0009,O=C1CCc2cccc(N3CCC[C@@H](O)[C@H]3C(=O)N3CCCc4c(F)cc(F)cc43)c21,-8.382,-5.186,-13.568
HIT_0010,Oc1cccc(N2CCC[C@H]3CN(c4ccc5c(c4)NCC5)C[C@@H]32)c1,-8.466,-5.086,-13.552
HIT_0011,O=C(Nc1ccc2c(c1)C(F)(F)CC2)N1CC[C@@]12CCCc1ccc(F)cc12,-7.791,-5.756,-13.547
HIT_0012,c1ccc(-c2cc(-c3ccc4c(c3)COC4)nc3cnccc23)cc1,-8.427,-5.108,-13.535
HIT_0013,FC(F)(F)c1cccc2c1CCN(c1ccc3c(c1)CNCCC3)C2,-7.839,-5.654,-13.493
HIT_0014,C[C@H]1[C@H](C(=O)N2Cc3cccc(F)c3C2)CCCN1c1ccc2c(c1)NCC2,-7.469,-6.009,-13.478000000000002
HIT_0015,C[C@H]1CO[C@@H](c2nc3cccc(N4CCc5cccc(F)c54)c3n2C)C1,-7.257,-6.218,-13.475
HIT_0016,C[C@]1(F)CCCN(C(=O)c2ccc(N3CCc4cc(F)cc(F)c4C3)[nH]2)CC1,-7.383,-6.064,-13.447
HIT_0017,Fc1cc(N2CC3(CCOCC3)C2)cnc1N[C@@H]1CCc2c(F)ccc(F)c21,-7.46,-5.979,-13.439
HIT_0018,Cc1cc(C)c(-c2noc([C@H]3CN([C@@H]4OC(=O)c5c(F)cccc54)CC34CC4)n2)cn1,-7.997,-5.407,-13.404
HIT_0019,C[C@H]1NC[C@@H]1C(=O)N1CCCc2ccc(N3CCc4ccc(F)cc4C3)nc21,-8.576,-4.824,-13.4
HIT_0020,C[C@@H]1c2c(F)cccc2CCN1C(=O)[C@H]1CN(c2ccc(F)c(O)c2)[C@H]1C,-7.597,-5.8,-13.397
HIT_0021,Cc1cnc(N)c(N2C[C@@H](C)C[C@@H]2C(=O)N2CCc3c(F)ccc(F)c32)c1,-8.019,-5.369,-13.388
HIT_0022,Cc1cnc(O)cc1N1CCc2ccc(N3C[C@H]4CCN(C)[C@@H]4C3)cc21,-8.013,-5.353,-13.366
HIT_0023,C[C@H]1C(=O)CC[C@]1(O)N1CCOc2nc(N3CCCc4ccc(O)cc43)ccc21,-7.949,-5.409,-13.358
HIT_0024,Cc1ccccc1[C@H]1CCN(c2ccc3c(c2C)C(=O)NC3)C1,-7.763,-5.592,-13.355
HIT_0025,O=C(c1cnc2nc([C@H]3CC3(F)F)oc2c1)N1CCC[C@@H]1c1cccc(F)c1F,-7.524,-5.821,-13.344999999999999
HIT_0026,C[C@@]1(C(=O)N2Cc3ccc(N4CCCCc5ccccc54)cc3C2)CCN1,-7.94,-5.403,-13.343
HIT_0027,N[C@@H]1CCc2cccc(N3CC[C@@]34CCCc3cc(F)ccc34)c21,-7.572,-5.762,-13.334
HIT_0028,C[C@H]1NC[C@H]1C(=O)N1CCc2ccc(N3CCC[C@H](O)c4cc(F)ccc43)cc21,-8.01,-5.312,-13.322
HIT_0029,Cc1cc2c(o1)CCN(C(=O)c1nn([C@@]3(C(=O)O)CCc4cccc(C#N)c43)cc1C)C2,-6.753,-6.534,-13.286999999999999
HIT_0030,CC1(C)CCN(C(=O)N2CCOc3ccc(N4CCCc5cc(O)c(O)cc5C4)cc32)C1,-8.881,-4.398,-13.279
HIT_0031,Cc1cc(F)c(F)cc1-c1cc2c(cc1F)CCN2C(=O)[C@H]1CNCCCO1,-8.645,-4.63,-13.274999999999999
HIT_0032,C[C@@]1(C#N)CCN(C(=O)c2ccc3c(c2)N(c2ccc(C#N)c(F)c2)CCN3)C1,-7.497,-5.776,-13.273
HIT_0033,N#Cc1ccc(F)c2c1[C@H](N1CCc3ncnc(O)c3C1)CC2,-7.407,-5.853,-13.26
HIT_0034,CN1C(=O)Cc2cc(N3CCCC[C@H](N4CCC(=O)c5cc(F)ccc54)C3)ccc21,-8.281,-4.967,-13.248000000000001
HIT_0035,Cc1c(N2CCc3ccc(N4CCN(C)[C@H](C#N)C4)cc3C2)ccnc1O,-7.851,-5.392,-13.243
HIT_0036,Cc1ccc(C2(O)CCN([C@@H]3Cc4cccc(-c5c(F)ccc(F)c5C)c4C3)CC2)cc1C,-7.352,-5.888,-13.24
HIT_0037,O[C@H]1CCCC[C@H]1N1CCN(c2ccc3c(n2)CCCN3)Cc2ccc(F)cc21,-7.313,-5.914,-13.227
HIT_0038,C[C@H]1Cc2ccccc2N(c2ccc(F)c(NC(=O)N3CC[C@H]4CC[C@@H]3CC4)c2)C1,-8.263,-4.957,-13.219999999999999
HIT_0039,O=C([C@@H]1CCCN(c2ccc3c(c2)CCO3)C1)N1CCc2c(F)cccc2C1,-7.398,-5.816,-13.213999999999999
HIT_0040,Cc1cc(NC(=O)[C@]2(C)CCNC2)nc(N2CCc3c(F)cccc3C2)c1,-7.386,-5.822,-13.208
HIT_0041,Fc1cc(-c2nc3cc(Cl)c4cccnc4c3o2)c2oc(C3CCOCC3)nc2c1,-8.039,-5.161,-13.2
HIT_0042,C[C@@H]1[C@H](O)CCN(c2ccc3c(c2)[C@H](N[C@@H]2COc4c(F)cccc42)COC3)[C@H]1C,-7.655,-5.542,-13.197
